9,563
4,204
4,204
1,57
1,63
4,206
10,511
10,584
8,608
8,530
1,63
9,486
8,625
7,379
10,479
5,351
1,53
3,138
8,571
8,483
5,239
10,627
8,576
7,501
9,595
4,179
3,209
7,460
10,547
7,459
9,530
5,310
5,305
7,471
1,50
5,297
4,187
9,546
4,239
4,232
2,104
1,68
7,441
4,199
1,78
8,451
5,282
1,59
7,455
9,498
8,559
1,57
7,452
7,483
1,64
5,263
9,446
4,235
1,71
10,561
3,183
4,233
10,610
4,212
7,465
1,62
4,208
9,488
6,421
1,54
7,481
9,545
10,646
10,561
5,324
8,642
4,247
9,568
8,601
10,628
5,358
4,187
7,455
2,119
6,349
4,199
1,61
3,158
4,198
9,500
5,320
9,593
6,468
7,497
9,610
2,92
5,332
2,132
5,346
8,511
