9,2995
4,1229
4,1191
1,387
1,391
4,1374
10,3014
10,3051
8,2925
8,2714
1,419
9,3083
8,3104
7,2528
10,3032
5,1792
1,383
3,945
8,2931
8,3058
5,1845
10,3161
8,2937
7,2641
9,2907
4,1253
3,939
7,2671
10,3106
7,2531
9,3008
5,1718
5,1887
7,2540
1,411
5,1639
4,1092
9,3192
4,1181
4,1254
2,807
1,419
7,2460
4,1250
1,381
8,3009
5,1759
1,389
7,2557
9,3000
8,3007
1,385
7,2697
7,2531
1,398
5,1738
9,3166
4,1216
1,385
10,3015
3,1029
4,1237
10,2939
4,1245
7,2752
1,389
4,1281
9,3019
6,2169
1,416
7,2606
9,2967
10,3027
10,3063
5,1673
8,2951
4,1168
9,3156
8,3089
10,3240
5,1821
4,1164
7,2525
2,710
6,2376
4,1153
1,370
3,1050
4,1172
9,3251
5,1787
9,3053
6,2283
7,2468
9,3045
2,773
5,1734
2,724
5,1844
8,3120
