1,181
2,421
3,591
4,927
5,1178
6,1437
7,1647
8,1857
9,1836
10,2122
1,200
2,448
3,654
4,833
5,1113
6,1400
7,1590
8,1883
9,1840
10,1859
1,193
2,521
3,592
4,935
5,1116
6,1416
7,1794
8,1888
9,1898
10,1879
1,182
2,514
3,669
4,837
5,1201
6,1392
7,1637
8,1889
9,2035
10,1943
1,191
2,454
3,635
4,905
5,1057
6,1489
7,1709
8,1949
9,1929
10,2108
1,203
2,451
3,636
4,843
5,1152
6,1543
7,1643
8,1961
9,1878
10,1838
1,212
2,442
3,691
4,814
5,1095
6,1431
7,1688
8,1939
9,1931
10,1908
1,195
2,412
3,638
4,840
5,1196
6,1324
7,1804
8,1949
9,1992
10,1954
1,175
2,469
3,549
4,888
5,1200
6,1552
7,1764
8,1979
9,1807
10,1916
1,178
2,464
3,650
4,834
5,1236
6,1462
7,1650
8,1913
9,1956
10,1983
