1,349
2,817
3,1126
4,1423
5,2070
6,2317
7,2838
8,3261
9,3282
10,3419
1,360
2,837
3,1120
4,1531
5,1933
6,2539
7,2872
8,3354
9,3332
10,3252
1,359
2,835
3,1168
4,1409
5,1917
6,2457
7,2999
8,3241
9,3300
10,3214
1,389
2,803
3,1142
4,1481
5,1948
6,2299
7,2947
8,3072
9,3430
10,3529
1,373
2,810
3,1143
4,1522
5,1958
6,2515
7,3021
8,3299
9,3317
10,3425
1,370
2,844
3,1118
4,1528
5,2003
6,2652
7,3046
8,3330
9,3426
10,3574
1,368
2,909
3,1204
4,1513
5,1916
6,2527
7,2938
8,3345
9,3625
10,3344
1,373
2,863
3,1198
4,1507
5,2149
6,2531
7,2904
8,3503
9,3577
10,3273
1,354
2,843
3,1169
4,1551
5,1859
6,2429
7,3007
8,3196
9,3376
10,3502
1,341
2,830
3,1212
4,1509
5,2039
6,2586
7,3016
8,3370
9,3540
10,3517
