9,40886
4,17495
4,17479
1,13158
1,13117
4,17395
10,47990
10,47876
8,34053
8,34015
1,13169
9,40718
8,34111
7,28323
10,48017
5,20256
1,13084
3,15249
8,34294
8,34185
5,17141
10,40413
8,28188
7,23671
9,34094
4,15106
3,13821
7,23682
10,40279
7,23670
9,34188
5,17217
5,17184
7,24001
1,12643
5,17126
4,15006
9,34028
4,15068
4,15095
2,13123
1,12603
7,23856
4,15116
1,12592
8,28387
5,17294
1,12512
7,23780
9,34010
8,28454
1,12583
7,23712
7,23484
1,12606
5,17095
9,33902
4,15161
1,12649
10,40334
3,13761
4,15102
10,40755
4,15161
7,23632
1,12548
4,15035
9,33802
6,19921
1,12615
7,23766
9,34053
10,40261
10,40417
5,17170
8,28174
4,15112
9,33907
8,28186
10,40344
5,17061
4,15048
7,23697
2,13104
6,19946
4,15085
1,12600
3,13701
4,15159
9,34313
5,17097
9,34006
6,20156
7,23854
9,34004
2,13114
5,17167
2,13129
5,17152
8,28534
